,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupSize,SoloTraveler,Deck,CabinNum,Side,TotalSpend,NoSpend,AgeGroup
15,0,0,5637,2,0.22515521970142643,0,0.9415483256178017,0.0,2.1612245233767977,0.0,0.0,3794,0,0.0,0.0,6,0.2826796207011802,1,0.03262911459843035,0.0,0
56,0,0,2246,2,-0.3316849217849671,0,1.030986157725736,1.6896226945465949,1.5959035358840954,1.8120875809968304,0.18665241123894336,5916,0,0.0,0.0,5,-2.042099633733063,1,0.18070160988426076,0.0,5
57,0,0,2388,2,1.3673576483106444,0,0.0,1.5411505588568966,0.0,0.7245884476238132,0.8773484072743342,6124,0,0.0,0.0,5,-1.9994012338886524,1,-0.016701841356915673,0.0,3
63,0,0,2653,0,-0.40663768136484163,0,2.0395578352392,0.8779792113819443,0.0,0.0,0.8667869552683445,6720,0,1.7095112913514543,-1.0,5,-1.9224651549707714,1,0.14161999467010883,0.0,5
66,0,0,2387,2,-0.5673458418343992,0,1.4143453617443533,0.0,0.5714440358797147,0.17376534287144,1.7742826473220994,4610,0,0.0,0.0,5,-1.9994012338886524,0,0.034730979710301806,0.0,5
67,0,0,2516,2,-0.7450004710907475,0,0.7629347951689582,1.8538227537317848,0.0,0.0,1.0691301642290858,4955,0,0.0,0.0,5,-1.9596499746441913,0,0.15628705250368216,0.0,4
68,0,0,2923,2,-1.0524236872304857,0,0.0,0.16730017881017414,0.0,0.0,1.876842712274892,6419,0,0.0,0.0,5,-1.8546027239098757,1,0.05441011535840803,0.0,4
71,2,0,3058,2,0.0,0,1.345661854409359,0.0,2.2090862097700135,0.0,0.0,1564,1,0.0,0.0,5,-1.8234510979082117,1,0.06686995866598078,0.0,0
72,2,0,2652,2,0.05916956055372249,0,0.7292305501170816,0.0,2.285776143518859,0.0,0.0,5301,1,0.0,0.0,5,-1.9224651549707714,0,0.08288381923822413,0.0,0
74,0,1,4593,2,-1.168756669551409,0,0.0,0.0,0.0,0.0,0.0,1834,0,0.0,0.0,6,-1.9994012338886524,1,-0.9042001854905145,1.0,4
