HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,SoloTraveler,Deck,CabinNum,Side,TotalSpend,NoSpend,AgeGroup
Europa,False,TRAPPIST-1e,0.6014108277170099,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,B,-3.51993299042486,P,-0.9042001854905145,1.0,0
Earth,False,TRAPPIST-1e,-0.19109023381881568,False,1.265757142008008,0.5557591642691969,1.0391014346221656,1.5818359272861144,1.0250676225999908,True,0.0,0.0,F,-3.51993299042486,S,0.003783439576018247,0.0,5
Europa,False,TRAPPIST-1e,1.2567501704762725,True,1.019016075612779,1.9749007163919534,0.0,2.2091459668251745,1.0534393665072879,False,1.0,-1.0,A,-3.51993299042486,S,0.367581753339672,0.0,2
Europa,False,TRAPPIST-1e,0.327377998750677,False,0.0,1.7276134996662162,1.8877068323722561,2.0332815294060365,1.4185420572000387,False,1.0,-1.0,A,-3.51993299042486,S,0.27186272378367987,0.0,0
Earth,False,TRAPPIST-1e,-0.8413786708007321,False,1.5394955581082677,1.0288537927304866,1.6022611348870042,1.589024675007822,0.29583707248290936,True,0.0,0.0,F,-3.120566031561338,S,0.05785306066675614,0.0,4
Earth,False,PSO J318.5-22,0.8000118064762451,False,0.0,1.4921274143795284,0.0,1.423107672530726,0.0,True,0.0,0.0,F,-3.51993299042486,P,0.010697243986997337,0.0,2
Earth,False,TRAPPIST-1e,-0.06132164693542493,False,1.0128254004860402,1.7714938519028205,0.4421294589150075,0.0,0.0,True,1.0,-1.0,F,-2.886951336599129,S,0.10908913202286057,0.0,0
Earth,True,TRAPPIST-1e,0.05916956055372249,False,0.0,0.0,0.0,0.0,0.0,True,1.0,-1.0,G,-3.51993299042486,S,-0.9042001854905145,1.0,0
Earth,False,TRAPPIST-1e,0.42375619846066165,False,0.0,1.6091576143930515,0.9218233423019256,1.3486886111199625,0.0,True,0.0,0.0,F,-2.7211990726978157,S,0.04833821712100038,0.0,0
Europa,True,55 Cancri e,-1.0524236872304857,False,0.0,0.0,0.0,0.0,0.0,True,1.7095112913514543,-1.0,B,-3.120566031561338,P,-0.9042001854905145,1.0,4
Europa,True,TRAPPIST-1e,0.3762556080155835,False,0.0,0.0,0.0,0.0,0.0,True,1.7095112913514543,-1.0,B,-3.120566031561338,P,-0.9042001854905145,1.0,0
Europa,False,55 Cancri e,0.8370717477664421,False,0.9933507113510024,2.1469447940210595,2.0348060297757957,1.1806340026274782,1.3001804329025168,True,1.7095112913514543,-1.0,B,-3.120566031561338,P,0.3344028548598216,0.0,2
Mars,False,TRAPPIST-1e,0.2770411427904802,False,1.1590094431704159,0.0,2.2403642126866443,0.0,1.2753753968743469,True,0.0,0.0,F,-3.120566031561338,P,0.08288381923822413,0.0,0
Earth,False,TRAPPIST-1e,0.9436014498499827,False,1.7716772675557644,0.16730017881017414,1.336202350730503,0.0,0.8667869552683445,False,0.0,0.0,G,-3.120566031561338,S,0.0167716414175885,0.0,2
Earth,False,TRAPPIST-1e,0.05916956055372249,False,0.5916741449658187,1.6611667072173908,0.818036705164662,0.2754115523761867,0.55995723371683,True,0.0,0.0,F,-2.886951336599129,P,0.04629884181518246,0.0,0
Earth,False,TRAPPIST-1e,0.22515521970142643,False,0.9415483256178017,0.0,2.1612245233767977,0.0,0.0,False,0.0,0.0,G,0.2826796207011802,S,0.03262911459843035,0.0,0
Mars,False,55 Cancri e,0.0,False,1.928081394136102,1.1614839181354824,0.0,0.0,0.0,False,0.0,0.0,F,-2.7211990726978157,P,0.09290252993383184,0.0,0
Earth,False,55 Cancri e,-0.19109023381881568,False,0.0,0.16730017881017414,0.0,0.0,1.7391175308673585,False,0.0,0.0,F,-2.5926316284699227,P,-0.015838294691930502,0.0,5
Mars,True,TRAPPIST-1e,0.8370717477664421,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,F,-2.4875843777356064,P,-0.9042001854905145,1.0,2
Earth,False,TRAPPIST-1e,-5.618628128055619,False,0.0,0.0,0.0,0.0,0.0,True,1.0,-1.0,G,-3.51993299042486,P,-0.9042001854905145,1.0,6
Earth,False,55 Cancri e,-1.0524236872304857,False,1.622009075026966,0.0,0.22106472945750374,0.0,1.7562855065199605,False,1.0,-1.0,F,-2.3987681927521742,P,0.0579789365149183,0.0,4
Earth,True,TRAPPIST-1e,-4.44987145850421,False,0.0,0.0,0.0,0.0,0.0,False,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,1
Earth,True,55 Cancri e,0.9776664357325935,False,0.0,0.0,0.0,0.0,0.0,False,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,2
Earth,True,55 Cancri e,0.11633298232092336,False,0.0,0.0,0.0,0.0,0.0,False,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,0
Earth,False,TRAPPIST-1e,-1.5753943509162507,False,0.0,0.0,0.0,0.0,0.0,True,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,1
Earth,True,PSO J318.5-22,-4.44987145850421,False,0.0,0.0,0.0,0.0,0.0,False,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,1
Earth,False,TRAPPIST-1e,-2.112358119401392,False,0.0,0.0,0.0,0.0,0.0,False,3.089693646737102,-1.0,E,-3.51993299042486,S,-0.9042001854905145,1.0,1
Europa,True,TRAPPIST-1e,1.3673576483106444,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,C,-2.886951336599129,S,-0.9042001854905145,1.0,3
Earth,False,TRAPPIST-1e,-0.9436014498499827,False,0.0,1.308317338739623,0.0,1.7314571073798515,0.0,False,0.0,0.0,F,-2.3987681927521742,S,0.07354584895505492,0.0,4
Europa,False,55 Cancri e,0.3762556080155835,False,0.8443337464867926,2.102700785980286,0.0,1.8229462996099246,1.5607769680121524,False,0.0,0.0,C,-3.51993299042486,P,0.3293204126447059,0.0,0
Mars,False,TRAPPIST-1e,0.7621189881865668,False,1.8920938337775128,0.0,1.5691245421003506,0.9756419811863285,0.0,False,0.0,0.0,F,-2.2539696827733975,P,0.08288381923822413,0.0,2
Earth,False,TRAPPIST-1e,0.2770411427904802,False,0.0,1.628335203680226,1.4054305139129073,1.5247538820354727,1.6474965580702974,False,0.0,0.0,G,-2.5926316284699227,S,0.1282525079146117,0.0,0
Mars,False,TRAPPIST-1e,0.908834043856749,False,1.4462188781202123,0.0,2.31311618474919,0.0,1.9158829613560249,True,1.7095112913514543,-1.0,F,-2.1932646696064,P,0.19001754433170456,0.0,2
Mars,False,TRAPPIST-1e,-3.766192634348888,False,0.0,0.0,0.0,0.0,0.0,True,1.7095112913514543,-1.0,F,-2.1932646696064,P,-0.9042001854905145,1.0,1
Mars,False,TRAPPIST-1e,-0.4850778453960866,False,0.0,0.0,2.3817432972278203,1.7294414953280834,0.0,True,1.7095112913514543,-1.0,F,-2.1932646696064,P,0.18441376460829123,0.0,5
Europa,True,55 Cancri e,0.05916956055372249,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,D,-3.120566031561338,S,-0.9042001854905145,1.0,0
Mars,False,55 Cancri e,-0.2599226256946602,False,1.7949520294884211,1.6586784054025376,0.0,1.7193764012916197,0.0,False,0.0,0.0,D,-3.120566031561338,P,0.1823412043228534,0.0,5
Earth,False,55 Cancri e,-0.9436014498499827,False,0.0,1.4965743533623947,1.2412143126717115,0.763232542969351,1.6147396579112858,False,0.0,0.0,F,-2.2539696827733975,S,0.04042224792350704,0.0,4
Earth,False,55 Cancri e,-0.4850778453960866,False,1.701587582048554,1.2739423185080674,0.0,1.971919496822374,0.0,False,0.0,0.0,F,-2.1383503054933706,S,0.21225139103586194,0.0,5
Earth,True,55 Cancri e,0.17162185197602428,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,G,-3.120566031561338,P,-0.9042001854905145,1.0,0
